遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
不错是正品，价格有优势，快递也很给力，以后会继续购买,价格|很给力,0
买的超值，送了两贴面膜，还有两瓶卸妆水，发货快到过快，支持**没错的,发货|快,1
已多次购买，品质好，服务好，开票也快,开票|好,0
还没用，先用用试试，效果好了再来追评，但是包装很喜欢呀,包装|很喜欢,1
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,持久度|挺ok的,1
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,香味|淡淡的,1
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,送货速度|非常快,1
遮瑕力一般主要是轻薄提亮肤色建议黄皮的买自然色或者无瑕色,遮瑕力|一般,1
朋友给推荐的，很好用，隔离效果不错,隔离效果|不错,1
个人情况：东西很棒买了两只泡沫挺多的味道有点香推荐入手,泡沫|挺多的,1
面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,保湿效果|非常足,0
气味重不好闻，持久度也不好，到中午脸色就蜡黄了,持久度|不好闻,0
非常好用，精华也特别多,精华|特别多,1
物流特别特别给力，卖家服务态度非常好，用的好在光顾,卖家服务态度|特别特别给力,0
瓶子很漂亮很喜欢也很好用快递很快态度好,快递|好,0
非常不错，老客户了，他家保湿真的好，我还是容易过敏的皮肤，用他家的没事,保湿|真的好,1
在手上试了一下，不油腻，很自然，味道很好闻，不知出汗后怎样，用的好后会追评，物流很快，满意,物流|很好闻,0
感觉还好吧，第次用这个牌子。性价比很高,性价比|很高,1
是正品，吸收也特别好一点也不油腻，保湿效果很好，值得购买,保湿效果|很好,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,发货|蛮多,0
东西挺好用的，保湿度强,保湿度|强,1
挺好的，遮瑕的效果也特别好，特别喜欢，物流也特别快,物流|特别好,0
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,老板|很好,1
闻起来很好闻，效果用了才知道，应该不错，赠品很好很实在,赠品|很实在,1
看起来不错，味道淡淡的，外观很喜欢，用过后再来追评,味道|淡淡的,1
东西是好东西，一直在用，效果很好，客服真的忙，问一下能不能优惠一点，半天不带理你的，全程机器人聊天,效果|真的忙,0
送货比较快，还未使用，用后再追评,送货|比较快,1
味道很喜欢，价格也很划算,价格|很划算,1
商品不错，价格合适，物流给力，还会再买,价格|合适,1
货己收到，物流很快，还没用，暂不作评价,物流|很快,1
**发货送货很快，服务态度很好，质量值得信赖，好评,质量|值得信赖,1
效果不错哦，而且不伤皮肤，不觉得油腻，卖家服务好，性价比不错哦,性价比|不错,1
面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,保湿效果|棒棒哒,1
很划算买一送一，看包装不错，一直都信任****的东西，很满意**的东西，也信任****的店,包装|不错,1
包装挺精致，期待效果,包装|挺精致,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,泡沫丰富度|挺可以,0
感觉不是很好用，也不知道是不是我长期没用气垫的过。但是妆感还可以,妆感|还可以,1
第二次购买了，很好用，味道也好，有意向的可以下手了,味道|好,1
面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意,快递人员服务态度|没有破损,0
挺好了毕竟价格就很美丽。希望以后还能再买,价格|很美丽,1
个人情况：有点点酒精味，不过能接受，就不不知道用久了会不会对皮肤不太好,酒精味|有点点,1
包装很好，物流也快。很满意,包装|很好,1
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,尺寸大小|不贵,0
双物流比较快，去年买的刚打开有点淡淡的味道。快用完的时候，味道就不一样了，不是很好闻,味道|淡淡的,1
很喜欢，非常好，完美收货，等用过再评,收货|完美,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,美白|没感觉到,0
快递很快，很喜欢味道也还好，用完试试看怎么样，好的话继续回购，送了卸妆水，和面膜,味道|很快,0
包装完好，快递小哥服务很好，期待用后效果,包装|完好,1
遮瑕不是太好,遮瑕|不是太好,1
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,持久情况|一般,0
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,防晒效果|还好,0
包装高档，好用不卡粉，遮瑕效果不错,遮瑕效果|高档,0
漂亮的包装，***的我一直都是在用，很保湿的，也很修复的，很喜欢***的产品,包装|漂亮,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,精华|很好,0
用了两次，感觉挺好了，洗完脸上感觉很光滑，补水效果很不错,补水效果|很不错,1
很好，很喜欢。建议购买。我还分了一盒给我妈，我觉得卸妆也挺好的，还有泡沫很多哦,泡沫|挺好的,0
比较满意，送了两个替换装。**的物流就是快昨天买的今天就到了。快递小哥服务态度比较好,物流|就是快,1
收到宝贝晚上就用一贴，面膜滋润，精华特别多，我是敏感肌肤还不知道会不会过敏，快递小哥态度很好,快递小哥态度|很好,1
颜色偏暗，持久可以,颜色|可以,0
感觉还好，就是按出来有点麻烦，瓶子塑料比较硬,瓶子塑料|比较硬,1
面膜很薄很服帖，价钱美丽,价钱|美丽,1
不错的面膜啊，真心推荐给大家用了，以后效果挺好，补水美白效果都挺不错的,补水美白效果|挺不错,1
好用，补水效果很好，相信品牌的力量，而且是**配送,补水效果|很好,1
**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购,发货|实惠,0
送了很多赠品，用着一般般,赠品|很多,1
物流快，回来马上试了，很清爽，不油腻,物流|快,1
清洁能力：泡沫很多，一搓就有，洗的挺干净的，味道也好闻，很温和,泡沫|很多,1
粉质不是很好，只能将就,粉质|不是很好,1
东西很好，物流很快，价格实惠,价格|实惠,1
质量不怎么样，挤了好多也没什么泡沫，感觉洗不净的样子，很不开森，是我用过洗面奶最垃圾的一次,泡沫|没什么,1
快递，很快，没用过，帮别人买的,快递|很快,1
这面膜还挺好用的，连续用了两片补水棒棒的，最主要的是蚕丝面料，轻薄透气,补水|棒棒的,1
**送货很快，第一次购买这个产品，包装很到位，不错的,送货|很快,1
卸妆水收到了，最喜欢的就是**快递的速度，产品也不错，会继续光顾,快递的速度|最喜欢,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,粉扑|对的起,0
起泡量属于少的那一种，咱也不知道洗干净没有，味道咱也不喜欢,起泡量|少的,1
跟图片一样，物流快，还没用不知道怎样,物流|快,1
好用，补水效果很好，女神节活动，很实惠,活动|很好,0
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,活动|没什么突出的,0
快递小哥服务好，速度也快，唯一不好就是商家，上面写的替换装送两个结果只有一个，差评，简直欺骗顾客,速度|好,0
很好，味道香香的,味道|香香的,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,物流|到家,0
面膜是正品，真正的物美价廉，物流给力快递小哥服务态度很好。点赞！需要的请赶快入手啦,物流|很好,0
包装盒都没一个，太简陋了点，面膜看起来也很旧，感觉被骗了！找客服也没人答复，服务太差了,包装盒|太差了,0
虽然是赠品给的，但是很好用，很滋润保湿，精华也很多,赠品|很多,0
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,清洁效果|淡淡的,0
**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,保湿|不错,1
包装盒很好看，送有两个替换装，粉质很是细腻，略带香味，用着很舒服,粉质|细腻,1
物流很快还是那个味道，正装一如既往的好送的比之前的少了点，寄保质期也比较近了,物流|很快,1
面膜是正品，真正的物美价廉，物流给力快递小哥服务态度很好。点赞！需要的请赶快入手啦,物流|给力,1
昨天用了，挺好的，淡妆卸得干净，量也大，性价比不错,性价比|不错,1
使用效果：挺好的耶，面膜纸也不厚，服帖，喜欢喜欢喜欢,面膜纸|不厚,1
物流很快，包装得很漂亮，很满意，用起来一点也不起皮用完在回购,包装|很漂亮,1
赠的东西挺多的,赠的东西|挺多的,1
快递速度很快，还没用，包装看起来不错,包装|很快,0
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,保湿效果|刚刚合适,0
****质量有保证，效率服务都很满意，老婆很喜欢这款面膜,服务|很满意,1
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,活动|很划算,1
**发货送货很快，服务态度很好，质量值得信赖，好评,服务态度|很好,1
价格实惠，有一个替换装，还送一个，物超所值,价格|实惠,1
听朋友介绍的说很好用就买来试试，价格也合适,价格|合适,1
**速度快，物美价廉，服务好，值得推荐，还会再来,服务|好,1
第一次购买使用。效果不知。赠品到位。偿试性购买。物流很给力哦,物流|很给力,1
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,价格|不贵,1
好划算，还没用。看着还不错。买一送一，加在买一份一共片。包装也挺好看的，可以用好久,包装|挺好看的,1
包装很好，一点都没有破损，物流很快，昨天买的，今天就到了，还会回购,物流|很好,0
淡淡的香味，水润不干燥，还送了面膜和卸妆水,香味|淡淡的,1
搞活动的时候买的很划算,活动|很划算,1
宝贝收到了，用着很不错，客服小海龙非常好,客服|非常好,1
味道挺好的速度也快,味道|快,0
第二次购买，好用用过肤色好好，**快！服务好,服务|好,1
一直用***面膜，这次优惠力度大，包装好看,包装|好看,1
比较显白，有一点淡淡的香味，发货速度挺快,香味|挺快,0
商品不错，价格合适，物流给力，还会再买,价格|合适,1
物流太快了，昨天晚上下单今天中午就到了。一直都在用，很好用,物流|太快了,1
活动买的很合适，用着很不错，店家服务也很好,活动|很合适,1
上妆贴合皮肤，自然，不假面,上妆|贴合皮肤,1
东西不错，包装精美，一如既往,包装|精美,1
习惯星，看不出来好也看不出来坏，稍微偏硬，贴合度不是特别好,贴合度|不是特别好,1
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,保湿度|不适合,0
不错不错，第二次回购了，每次赠送的小礼品也很多！还会继续光顾的,小礼品|很多,1
价位经济实惠，这款面膜用着挺好的，挺补水的,价位|实惠,1
补水效果很好，味道也好闻,味道|好闻,1
首先不得不说元买还有两个替换装很划算，其次今天试用了，味道很好闻，很自然,味道|很自然,1
物流还不错，小哥服务态度好,小哥服务态度|好,1
已多次购买，品质好，服务好，开票也快,开票|快,1
一打开味道太刺鼻了，塑料味太浓了！不敢用了,塑料味|太刺鼻,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,泡沫|很划算,0
买了好多次了，卸妆效果很好，不油不粘，比较清爽型的。是我喜欢的款式,卸妆效果|很好,1
产品是正品，物流很快，又方便,物流|很快,1
快递也快，一直很相信**配上隔离特别自然，感觉白了一个度,快递|快,1
东西很好，物流很快，价格实惠,价格|很快,0
看着不错和以前买的一样还没用快递小哥很给力服务很好,服务|很给力,0
用这款隔离三年了，很好推开而且滋润度也很好！价格也不高，会无限回购,滋润度|不高,0
下午收到，刚刚敷了一片，很滋润挺好的，快递速度很快，快递员态度很好,快递速度|很好,0
质量还不错，快递也很快，送货上门哦，不错的选择！喜欢这个,快递|很快,1
东西不错，厚度适中，大小合适。物美价廉，值得购买，五星好评,大小|合适,1
很不错，配送很快,配送|很快,1
东西不错，是正品，价格便宜，送货快,价格|快,0
粉质细，上妆轻薄透亮，紫色提亮肤色不夸张，物美价廉，会回购喜欢，要上加上防就更好了方便一瓶搞定,粉质|不夸张,0
洗面奶泡沫不多，洗了还比较干净，也不紧绷，现在换了整套大红瓶，总体来说还可以，发货挺快的，好评,发货|不多,0
快递很快，很喜欢味道也还好，用完试试看怎么样，好的话继续回购，送了卸妆水，和面膜,味道|还好,1
一直用这个牌子，特别的好，快递也很快，给商家还有快递小哥一百个赞,商家|很快,0
清洁能力：泡沫很多，一搓就有，洗的挺干净的，味道也好闻，很温和,清洁能力|挺干净的,1
还行，就是刚开始的味道不喜欢,味道|不喜欢,1
不错，补水效果好，活动就是便宜,补水效果|好,1
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,日期|仔细,0
快递迅速服务态度好使用效果非常棒，会一直支持的,效果|非常棒,1
很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,价格|很实惠,1
包装精美，物流还是一如既往的快，还没用过这个面膜，用过了再来评价,物流|快,1
洗面奶使用后脸上总是滑滑的，卸妆效果不好,卸妆效果|不好,1
包装很精美，图案也漂亮，很喜欢！拒绝不了卡哇伊的东西,图案|漂亮,1
**就是棒，物流超快。价格相当实惠，没想到有那么大瓶。用的很好。干净,价格|超快,0
很多精华液，面膜纸是薄透的，期待效果,面膜纸|薄透,1
味道淡淡的，水分超足，没有刺激感,水分|超足,1
****，物流特别快，纸质不错，刚好遇到活动价，果断下手，有时间再用，到时候再追评,物流|特别快,1
物流很快，绝对正品，到家用了一下，很不错,物流|很快,1
物流真快，宝贝收到了真的是很划算，用完了，还会再光顾,物流|真快,1
面膜很不错，里面精华很多，做天晚上试用了一下，感觉不错，值得购买，并且价格也美丽,精华|美丽,0
第一次买这个面膜，包装很可爱，今晚试试效果,包装|很可爱,1
控油效果一般，持久情况：持装效果大半天是没问题,控油效果|一般,1
第三次购买了，挺好用，味道也不错,味道|不错,1
还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,包装|还不错,1
物流很快，面膜用后感觉也特别的好，价格也很实惠，喜欢的可以试试哦,物流|很快,1
碰到买一送一的活动感觉炒鸡划算的！不知道用了会不会过敏，然后一直很支持***这个牌子,活动|炒鸡划算,1
**发货送货很快，服务态度很好，质量值得信赖，好评,服务态度|很快,0
双十一买的，价钱比平时要低得多，是正品，补水效果还是不错的，用***有几年了,价钱|还是不错的,0
还可以吧。主要是活动的时候下单的，很便宜，很划算，水分很多,水分|很多,1
价格便宜实惠东西不错，正品下次再来，包装也好，有档次,包装|有档次,1
宝贝很好，物流给了，不错不错,物流|给了,1
挺好的，用的还不错，**快递就是快，服务就是好，选择**没错,快递|快,1
今天才开始用，很好用，补水渗透性很强,渗透性|很强,1
一直关注的，活动期间买的，颜色很自然，一个两个替换装喜欢,颜色|很自然,1
补水效果特别好，精华液也很多,补水效果|很多,0
不愧是名牌，就是好，保湿效果非常好，用了后脸滋润很多，很光滑，好评,保湿效果|非常好,1
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,美容液|合适,0
用完了才想起评论，补水效果特别好,补水效果|特别好,1
快递小哥服务好，速度也快，唯一不好就是商家，上面写的替换装送两个结果只有一个，差评，简直欺骗顾客,快递小哥服务|好,1
补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算,补水效果|很划算,0
一直用***面膜，这次优惠力度大，包装好看,包装|大,0
买了好几次了，补水效果感觉还不错，就是优惠力度感觉没有以前大了,补水效果|还不错,1
很迷你，很细腻白的不浮夸，淡淡的香味，要好好卸妆,香味|淡淡的,1
快递挺给力，还没用的，以后再用一下,快递|挺给力,1
**送货速度真的很快，服务态度也好,服务态度|真的很快,0
面膜很不错，里面精华很多，做天晚上试用了一下，感觉不错，值得购买，并且价格也美丽,价格|美丽,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,物流速度|快,1
效果不错哦，而且不伤皮肤，不觉得油腻，卖家服务好，性价比不错哦,性价比|好,0
产地是广州的，早知道去香港买好了，而且这个味道，一点都不好，用的时候感觉就像拿洗发水在洗脸,味道|不好,1
用了质量不错非常喜欢下次再来很满意哦,质量|不错,1
宝贝到家了，第一次买这款隔离，看包装挺好的，用好了下次再买,包装|挺好的,1
物流很快啊，商品质量也很好，值得购买,物流|很快,1
一直信赖***，化妆品面膜都是***，质量很好，价格便宜，发货很快呀,价格|便宜,1
用着是很温和的一款卸妆水。可以用来卸眼妆，用完后也不油腻，用着很不错。保湿效果很好。不错，值得购买,保湿效果|很好,1
包装盒都没一个，太简陋了点，面膜看起来也很旧，感觉被骗了！找客服也没人答复，服务太差了,服务|太差了,1
包装高档，好用不卡粉，遮瑕效果不错,包装|高档,1
东西还行，味道淡淡的。试用一段时间先,味道|淡淡的,1
瓶子很漂亮很喜欢也很好用快递很快态度好,态度|好,1
之前买过一次，用了觉得补水效果还不错，赶上活动就又囤了点货,补水效果|还不错,1
**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购,价格|超快,0
手上试用了一下，味道真的像洗发水，香味有点不太喜欢，质地挺轻薄的，抹上也挺滋润,质地|不太喜欢,0
个人情况：混合性肌肤，整体描述：还行，滋润及保湿：保湿感觉差一些，有点干，吸收情况：属亚光，吸收还好,保湿|有点干,1
面膜补水效果真不错，而且国民品牌良心价，每天一张面膜贴起来，水灵灵美美哒。而且**物流送货就是快,补水效果|真不错,1
第六次购买了，面膜补水非常好，而且是超值装，清爽补水棒棒哒,补水|棒棒哒,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,保湿|可以,1
本来就有一个又送一个，实际相当于三个。味道还可以,味道|还可以,1
搞活动买的价格很便宜，很实惠，已经使用过一次，里面的精华液很多，以后会继续关注，期待效果，五星好评,价格|很多,0
还行吧，味道刚开始不习惯，现在用着还行,味道|不习惯,1
送货速度快。包装完整。**质量杠杠的,包装|快,0
物流也快，实惠！物流也快，实惠！物流也快，实惠！物流也快，实惠,物流|快,1
棒棒哒，一直用这款隔离，效果很好。搞活动买的很划算,活动|很划算,1
一直的老客户，发货飞快，质量不错，值得推荐,质量|飞快,0
物流很快啊我都用上了,物流|很快,1
物流很快，但是外包装好像有拆了的痕迹，里面的小包装完好。这次网购总体一般，不是太完美,小包装|很快,0
还不错，包装完整，挺清爽的,包装|完整,1
这款卸妆水，效果真的很一般，卸妆不是太干净，价钱跟商品本事，差距还是很大，实事求是的讲，不是很值,卸妆|不是太干净,1
发货迅速而且质量不错，已经是第二次购买了,发货|迅速,1
快递小哥一如即往的好服务，我用这款面膜不错，很服帖，支持,快递小哥|好服务,1
整体描述：包装很紧密，清洁能力：清洁效果好，味道很香,包装|很紧密,1
遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了,美白效果|不错,1
粉扑好硬。粉液也一般般啦。不过也对的起这个价格。有两个替换装,价格|对的起,1
卸妆水收到了，很好用，卸妆效果很好，用后脸不紧绷！一直用***，相信,卸妆效果|很好,1
美白效果不是太明显，不过价格挺实惠的，用着感觉也挺好，每天一片也不会觉得浪费，挺好的，棒棒哒,价格|不是太明显,0
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,价格|合适,0
宝贝收到了，物流超快，买了两三天就到了，延展性很好，买的紫色，调节肤色，很好用，还会回购的,延展性|很好,1
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,活动|蛮多,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,控油效果|还行,1
快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,质量|杠杠滴,1
包装精美，物流还是一如既往的快，还没用过这个面膜，用过了再来评价,包装|精美,1
物流特别特别给力，卖家服务态度非常好，用的好在光顾,物流|非常好,0
不止一次买不来呀，隔离效果好，而且价格非常公道喜欢的朋友可以入手,隔离效果|好,1
虽然还没用，期待效果。包装真心不错，速度也快,速度|快,1
上妆效果：有点假面，比较厚重，持久情况：很好，适合肤质：油皮,持久情况|比较厚重,0
发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,活动|很快,0
很不错的面膜，很喜欢，**优惠活动很给力，客服态度也很好,优惠活动|也很好,0
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,持久情况|还好,1
很不错的面膜，很喜欢，**优惠活动很给力，客服态度也很好,客服态度|很给力,0
